method,k,WCSS,BCSS,CH_index
single,2,2961.215417998236,11.712045440611542,4.971621121978597
single,3,2950.757635707674,22.16982773117367,4.718331199654092
single,4,2941.223927684422,31.70353575442556,4.5092268105689
single,5,2934.7692670990536,38.15819633980613,4.076161859345743
single,6,2925.274400900206,47.65306253864618,4.082303345118605
single,7,2917.458494407183,55.4689690316629,3.9673314610858106
single,8,2907.2311693545244,65.69629408432033,4.038504538310147
single,9,2900.5425818125436,72.38488162629761,3.8993179500372372
single,10,2891.4062780421564,81.52118539668986,3.9127427498094063
single,11,2881.8493381554986,91.078125283358,3.9441860769300785
single,12,2874.352945807844,98.57451763100327,3.8877500370091886
single,13,2865.04295131963,107.88451211921584,3.909891997681559
single,14,2858.7852550235148,114.1422084153363,3.823760976459934
single,15,2853.2992773004507,119.62818613840791,3.72544825914596
single,16,2848.1369383469946,124.79052509185546,3.630785692469828
single,17,2841.3130406459723,131.61442279288235,3.5957212116883666
single,18,2824.4515974806277,148.47586595822747,3.8374664393677738
single,19,2817.7721743474435,155.1552890913929,3.793236219750697
single,20,2812.4852613321045,160.44220210674513,3.7200267629810275
single,21,2805.1232611614296,167.80420227742118,3.7028961489099474
single,22,2800.611011950485,172.31645148836216,3.624301805528602
single,23,2793.9427313290735,178.9847321097784,3.5991030037790117
single,24,2788.2934166147047,184.6340468241426,3.5555962290969645
single,25,2781.039810861127,191.88765257771485,3.547674302074268
single,26,2773.927624500914,198.99983893793316,3.538186061427872
single,27,2768.0590557011437,204.86840773771593,3.5070099697173234
single,28,2761.8284149635065,211.0990484753453,3.484848248238314
single,29,2756.2799607433903,216.64750269546732,3.4528478356794507
single,30,2750.3687915087708,222.5586719300746,3.4293157545913138
single,31,2745.2202857228867,227.70717771595355,3.3952881145147478
single,32,2740.713143525262,232.2143199135862,3.3535770131885347
single,33,2735.121639701415,237.8058237374329,3.3310897364458754
single,34,2730.2471651143064,242.6802983245411,3.2995499260475087
single,35,2724.0678928750494,248.85957056380155,3.288811032841535
single,36,2718.993785930543,253.93367750830402,3.2634014328562686
single,37,2714.9365596298576,257.9909038089891,3.2256215602732836
single,38,2711.350520359589,261.5769430792687,3.1836677171755183
single,39,2706.184664307476,266.742799131376,3.164546704641757
single,40,2701.9998341395585,270.92762929928926,3.1340583460368325
single,41,2696.953904581612,275.9735588572392,3.115883757941566
single,42,2693.361432818027,279.5660306208264,3.081033956213048
single,43,2686.8468816038553,286.080581834993,3.082689246296508
single,44,2682.530555430779,290.39690800807114,3.058828533651747
single,45,2676.3356160965686,296.59184734227586,3.057627992508937
single,46,2672.1586221926523,300.76884124619926,3.034023183451376
single,47,2666.626219678575,306.3012437602739,3.0264353666285277
single,48,2656.50591253521,316.4215509036433,3.0690329644535908
single,49,2642.889133942053,330.0383294967966,3.147962627672661
single,50,2638.4000557518666,334.52740768698226,3.1283928056837813
single,51,2633.4131569773035,339.51430646155046,3.1148419010430857
single,52,2629.646853490577,343.28060994827155,3.089505253525432
single,53,2625.7953993412098,347.13206409764405,3.066039967332685
single,54,2621.880765367857,351.0466980709866,3.044129559431474
single,55,2617.7589826870267,355.1684807518185,3.025084331415213
single,56,2613.18198476319,359.7454786756563,3.01112390508938
single,57,2604.2322126229815,368.6952508158623,3.038815112820199
single,58,2600.1977111964075,372.72975224243606,3.020340044572677
single,59,2585.849793912063,387.07766952678867,3.0970489957713085
single,60,2582.0632832594724,390.86418017937655,3.076282123190823
single,61,2579.9333597598174,392.9941036790317,3.0414670365187932
single,62,2574.3739744720547,398.5534889667986,3.0379407151239923
single,63,2568.8099493539194,404.1175140849321,3.034695972408318
single,64,2563.3857187251047,409.54174471374705,3.0304810421569064
single,65,2558.0594504641003,414.8680129747515,3.02568471020327
single,66,2554.1718346767816,418.75562876206754,3.009107015436453
single,67,2552.887827607285,420.0396358315641,2.971603495679052
single,68,2549.522868231837,423.40459520701523,2.9521173290719642
single,69,2544.5379683060783,428.38949513277953,2.9462386720895894
single,70,2539.734546671284,433.1929167675701,2.939177295618057
single,71,2535.990037029801,436.93742640904793,2.9240857472650412
single,72,2529.4415252076205,443.48593823122275,2.9312143647673548
single,73,2522.442841930984,450.4846215078662,2.941784317099016
single,74,2513.8348398695293,459.09262356932487,2.9645519426117897
single,75,2510.043772782275,462.8836906565769,2.950601551580053
single,76,2506.762011741362,466.1654516974948,2.93325932963242
single,77,2503.4216798022853,469.50578363656837,2.916828010238061
single,78,2499.363601391543,473.5638620473099,2.906084815893536
single,79,2493.79585931756,479.13160412128536,2.906573592810576
single,80,2492.1401732336863,480.78729020515897,2.8791694543295794
single,81,2489.6305095332314,483.29695390562114,2.8584754320007577
single,82,2475.3166990784703,497.610764360382,2.9211269987562187
single,83,2466.8490107218213,506.0784527170319,2.942176672763707
single,84,2462.4147442100975,510.5127192287515,2.9349799458801282
single,85,2459.0028035682208,513.9246598706236,2.9209844439138184
single,86,2455.116730743645,517.8107326952063,2.9105695960246325
single,87,2449.548522944694,523.3789404941609,2.9117853546608004
single,88,2445.495350339662,527.4321130991941,2.9029353879440025
single,89,2443.2640568304696,529.6634066083863,2.8822573341040387
single,90,2439.319250828825,533.6082126100172,2.873282755540387
single,91,2434.91293190897,538.0145315298814,2.8675493648702877
single,92,2432.3424274291915,540.5850360096578,2.8501568987691748
single,93,2428.699543825579,544.2279196132669,2.8399961397229863
single,94,2427.039165430789,545.8882980080568,2.8175392631128244
single,95,2424.877393557296,548.0500698815503,2.7986950485556985
single,96,2420.825399935434,552.1020635034178,2.79197813175448
single,97,2412.2794833312005,560.6479801076543,2.8131800810998064
single,98,2405.260971636614,567.6664918022435,2.824824950858045
single,99,2400.85185244434,572.0756109945052,2.8204602567566566
complete,2,2943.0448928860487,29.882570552787993,12.763105067017705
complete,3,2915.5825336539624,57.34492978488569,12.351773784217077
complete,4,2738.545298666668,234.38216477218128,35.80363352425366
complete,5,2677.030061126212,295.8974023126391,34.65177211569568
complete,6,2594.9214485238062,378.00601491504335,36.50526970348128
complete,7,2579.2571477272627,393.6703157115868,31.848655578035224
complete,8,2489.1292581021485,483.79820533670124,34.73570141653676
complete,9,2475.141962286247,497.785501152603,31.42404990914181
complete,10,2439.8495704881084,533.0778929507413,30.32128138595197
complete,11,2431.1374456851822,541.7900177536674,27.812246623761425
complete,12,2394.1678004348655,578.7596630039844,27.404219523296263
complete,13,2334.018894757692,638.9085686811582,28.423080263144453
complete,14,2324.54644449871,648.3810189401402,26.712717044747233
complete,15,2317.04987134928,655.8775920895703,25.152418865789958
complete,16,2251.7770995710353,721.1503638678143,26.538739927039728
complete,17,2238.5660671485107,734.3613962903393,25.46487424409609
complete,18,2221.880225458126,751.0472379807234,24.675699321860712
complete,19,2212.4252909335146,760.5021725053351,23.67996328561813
complete,20,2201.4247827189065,771.5026807199437,22.853424863171426
complete,21,2144.8629785384487,828.0644849004011,23.897653196598355
complete,22,2134.3565681323425,838.5708953065072,23.14318969276834
complete,23,2125.913704421104,847.0137590177458,22.384150827792634
complete,24,2109.717696010059,863.2097674287903,21.970053866751893
complete,25,2085.65483641542,887.2726270234297,21.87351430811471
complete,26,2075.015075981757,897.9123874570934,21.342032384237573
complete,27,2064.2299659587065,908.6974974801439,20.859246367475937
complete,28,2056.3045174476133,916.6229459912367,20.323457047827617
complete,29,2037.9226888764615,935.0047745623883,20.154554561666725
complete,30,2032.3371983671148,940.5902650717348,19.61365800066325
complete,31,2026.7804036752573,946.1470597635923,19.108608366958418
complete,32,2009.4101431224199,963.5173203164296,18.979020929466113
complete,33,1993.2271778447184,979.7002855941313,18.831153623146758
complete,34,1981.7750405818356,991.1524228570139,18.565568028612592
complete,35,1967.9956823262287,1004.9317811126208,18.382938766050252
complete,36,1963.6521384180935,1009.275325020756,17.959883428447693
complete,37,1925.8428429074695,1047.0846205313799,18.455662600485272
complete,38,1917.560516044862,1055.3669473939872,18.162195650458827
complete,39,1912.9918570196126,1059.9356064192366,17.788633783067617
complete,40,1908.269868607214,1064.657594831635,17.438505482952834
complete,41,1900.2601764197743,1072.6672870190744,17.188550965305026
complete,42,1894.1081026746422,1078.8193607642065,16.90638253558148
complete,43,1887.9366686535493,1084.9907947852994,16.638835053113272
complete,44,1882.9078857220904,1090.0195777167587,16.357353764978896
complete,45,1868.9055270751305,1104.0219363637184,16.29882754333373
complete,46,1864.7449767953872,1108.1824866434617,16.019174179917506
complete,47,1860.6579031314918,1112.269560307357,15.750281063204564
complete,48,1855.3932056705153,1117.5342577683336,15.519265696892383
complete,49,1850.3535723348832,1122.5738911039655,15.293410546686742
complete,50,1845.7274379290527,1127.200025509796,15.068278637336796
complete,51,1842.5109908068716,1130.4164726319773,14.822631786217247
complete,52,1834.362701142916,1138.5647622959332,14.689588210053254
complete,53,1820.869402295812,1152.0580611430373,14.67369653185709
complete,54,1808.403648435001,1164.5238150038483,14.64077873524568
complete,55,1802.3571458707745,1170.5703175680749,14.480694182027962
complete,56,1788.1264483126647,1184.8010151261847,14.49272757011091
complete,57,1782.3397600629683,1190.5877033758811,14.337959128663735
complete,58,1777.670455870138,1195.2570075687115,14.167009841741084
complete,59,1773.263156833884,1199.6643066049653,13.997155882168244
complete,60,1745.2137533920543,1227.713710046795,14.296036565430416
complete,61,1739.6679145339585,1233.2595489048908,14.154472885742807
complete,62,1735.4573894670466,1237.4700739718028,13.99216975867203
complete,63,1732.1010829299803,1240.8263805088689,13.819020946572573
complete,64,1714.6885242808173,1258.2389391580323,13.918910293463501
complete,65,1707.9000634902075,1265.0273999486421,13.81852951165206
complete,66,1691.8899210318827,1281.0375424069668,13.896865084637836
complete,67,1685.1188521690183,1287.8086112698313,13.80235226711934
complete,68,1676.8916171928308,1296.0358462460185,13.738805607475802
complete,69,1670.8294956321972,1302.097967806652,13.637965152150086
complete,70,1659.7928870902147,1313.1345763486345,13.632895373965216
complete,71,1656.4042697863297,1316.5231936525192,13.489025445813999
complete,72,1648.1633104231666,1324.7641530156825,13.437878067271532
complete,73,1643.490729659765,1329.4367337790839,13.324551768982495
complete,74,1631.3763804019557,1341.5510830368935,13.348993889971192
complete,75,1628.3543319188716,1344.5731315199776,13.21160246429183
complete,76,1623.8156016948792,1349.11186174397,13.104930804353819
complete,77,1616.7219351824656,1356.2055282563836,13.046501360125784
complete,78,1611.988787805033,1360.9386756338165,12.948984525853582
complete,79,1606.9065088085874,1366.020954630262,12.860390506722899
complete,80,1599.6212930316588,1373.3061704071904,12.812589399084048
