k,WCSS,BCSS,CH_index
2,2652.1829110355275,320.7445524033211,152.016627772312
3,2478.534214057975,494.3932493808751,125.26716752594612
4,2375.42181018782,597.5056532510292,105.22616679614065
5,2297.3892305690047,675.5382328698452,92.18343726293331
6,2228.6379093528194,744.28955408603,83.69190951621337
7,2182.249907463968,790.6775559748812,75.60456272634731
8,2144.265105727113,828.6623577117363,69.06506148014321
9,2107.562637409666,865.3648260291832,64.15622087191957
10,2078.5122061776133,894.4152572612354,59.71817795649112
11,2051.1653532239197,921.7621102149295,56.08319737558723
12,2029.1006445554617,943.826818883387,52.730573307557506
13,2002.5819207347768,970.3455427040728,50.31215509382908
14,1977.1126551246543,995.8148083141949,48.23620845967757
15,1956.957020325368,1015.9704431134815,46.13092156074017
16,1936.82592829121,1036.1015351476399,44.32937379233181
17,1916.7811873711973,1056.1462760676511,42.77136859434065
18,1901.752095769806,1071.1753676690435,41.11776819585282
19,1886.4994816528115,1086.4279817860377,39.67285294850248
20,1875.8864885053745,1097.0409749334744,38.13589990852675
21,1858.5050186967799,1114.4224447420688,37.11733282157404
22,1850.7297127737704,1122.197750665079,35.71715029847047
23,1831.8511331756417,1141.0763302632079,34.996153212127346
24,1820.5593440415832,1152.3681193972657,33.987992711128314
25,1814.361113378614,1158.5663500602354,32.83228426414858
26,1805.2889772241656,1167.6384862146838,31.899563375530107
27,1793.5771730850445,1179.350290353805,31.157321107085572
28,1782.2517750165362,1190.675688422313,30.459215882469557
29,1768.3838490441462,1204.5436143947031,29.9221688958359
30,1760.384220234662,1212.543243204187,29.190642485663766
31,1753.0215016742836,1219.905961764565,28.484999938983954
32,1742.1073491654,1230.8201142734504,27.964209107880276
33,1729.7067475880815,1243.2207158507676,27.536976277886108
34,1720.4205506727294,1252.5069127661195,27.02512172032301
35,1710.8723888395402,1262.0550745993087,26.556032455694908
36,1701.3261629580988,1271.60130048075,26.11691018029947
37,1690.145037435462,1282.7824260033867,25.76307703145525
38,1688.4339331860417,1284.4935302528074,25.10509038298986
39,1679.7964587965844,1293.131004642265,24.715084368861714
40,1674.539089511454,1298.3883739273958,24.235301487926534
41,1667.00610640239,1305.9213570364595,23.854324929606136
42,1662.0942037252614,1310.8332597135882,23.409845029386354
43,1654.6854086303438,1318.2420548085056,23.065560353165374
44,1647.5075267590196,1325.4199366798298,22.73180457921363
45,1638.6312328802824,1334.2962305585663,22.466583853021017
46,1629.7166346076833,1343.2108288311663,22.216742070684163
47,1625.5001730566448,1347.4272903822043,21.84052668850269
48,1619.949293036865,1352.978170401985,21.519672322388587
49,1611.9395949516343,1360.9878684872149,21.28382227156468
50,1605.9807718228087,1366.946691616041,21.001071707726965
51,1600.169746984031,1372.757716454818,20.72644261151588
52,1594.8761944022665,1378.0512690365824,20.4491609745852
53,1591.6504559696082,1381.2770074692419,20.126907415750047
54,1581.117209846817,1391.8102535920318,20.013688829664694
55,1575.6896315843835,1397.2378318544656,19.7711707121514
56,1572.2300833509942,1400.697380087855,19.486379322412226
57,1563.7610698815738,1409.166393557275,19.34230917551463
58,1563.8644022359265,1409.0630612029229,18.98451416960667
59,1552.8003141835018,1420.1271492553467,18.921905637638822
60,1552.5016059764562,1420.4258574623932,18.593180396244673
61,1547.9844992362066,1424.9429642026428,18.379616332905353
62,1539.0529866953357,1433.8744767435135,18.28192309293827
63,1532.222347337525,1440.7051161013237,18.138141948831855
64,1529.5625882233649,1443.3648752154847,17.899307771213895
65,1525.8958239905962,1447.0316394482534,17.692023006429597
66,1521.1902188348784,1451.7372446039715,17.515864691582046
67,1515.1687665654047,1457.7586968734447,17.376285821502407
68,1508.3397836875545,1464.587679751295,17.260491139304754
69,1503.0636417250848,1469.863821713765,17.113458250156807
70,1496.566376529031,1476.3610869098186,16.999234699054167
71,1494.5078315051326,1478.419631933717,16.78873315551082
72,1494.8637602823117,1478.063703156538,16.53042078983456
73,1487.335709975688,1485.591753463161,16.452907928194612
74,1483.0640356361205,1489.8634278027291,16.3072994561262
75,1476.4999748811058,1496.427488557743,16.215943260582762
76,1470.6540970641329,1502.273366374716,16.1124622118289
77,1466.8831822312518,1506.0442812075983,15.967837201306049
78,1459.1750127387097,1513.7524507001392,15.911336028206142
79,1455.8345847970784,1517.0928786417703,15.764766482608959
80,1451.5363641207966,1521.3910993180523,15.642265919005114
81,1447.5592733682486,1525.3681900705994,15.516495256547362
82,1442.3466111768237,1530.580852262025,15.41977658852346
83,1438.6287047135518,1534.2987587252978,15.29518314439494
84,1435.8504693414343,1537.0769940974144,15.154659472597894
85,1431.71352752538,1541.2139359134694,15.045118397474964
86,1427.3754515750693,1545.5520118637805,14.942542090229052
87,1423.0668597010892,1549.8606037377601,14.842138997668213
88,1420.736822326279,1552.1906411125708,14.705136711901513
89,1416.0356719361769,1556.891791502672,14.617982058186481
90,1411.6417507110314,1561.2857127278185,14.527216050608532
91,1408.03430730936,1564.893156129489,14.423537495348645
92,1403.1149473735059,1569.8125160653433,14.347756578816368
93,1399.055616710004,1573.8718467288452,14.257556803872626
94,1392.7558764016285,1580.171587037221,14.212557207040229
95,1391.9658062916371,1580.9616571472127,14.064292725068706
96,1388.4527918699562,1584.474671568893,13.970446694143485
97,1385.6753751867857,1587.2520882520628,13.864981771526317
98,1380.818244447883,1592.1092189909662,13.800563697072326
99,1376.7300311119361,1596.1974323269128,13.72365322069891
