method,k,WCSS,BCSS,CH_index
single,2,4623.532890193765,16.558219613032932,4.501683571393418
single,3,4608.863113850198,31.22799595661082,4.255101741211969
single,4,4595.656798787118,44.43431101971153,4.0447653637129335
single,5,4580.307885294498,59.78322451231543,4.091873593210609
single,6,4569.234913793622,70.85619601318949,3.8861128954656534
single,7,4555.137181945921,84.95392786089624,3.8916617082870855
single,8,4540.718387782321,99.37272202448398,3.911126724765582
single,9,4525.63900630833,114.45210349848323,3.95151737615628
single,10,4515.7711845537215,124.31992525310743,3.8205751033487596
single,11,4503.821657967649,136.26945183916789,3.775999335906721
single,12,4491.411760296248,148.67934951056984,3.7526801398379273
single,13,4483.451590438568,156.6395193682566,3.627652289682989
single,14,4470.066509551436,170.02460025538227,3.6427031104595136
single,15,4462.680088247676,177.41102155913615,3.5324594583031885
single,16,4453.462370509525,186.6287392973078,3.472646728123323
single,17,4441.169112940893,198.921996865919,3.4768592715200373
single,18,4430.527364018747,209.56374578807,3.4528967289015435
single,19,4419.800438191082,220.2906716157389,3.4335440734076093
single,20,4413.198211137785,226.89289866902348,3.3526265152064276
single,21,4402.3129463144805,237.77816349233683,3.343348939447303
single,22,4394.649169149183,245.44194065763742,3.289841468432823
single,23,4384.535101358277,255.55600844853475,3.2746005836465892
single,24,4371.421588962116,268.6695208447071,3.300158734960737
single,25,4361.907649145143,278.18346066168414,3.2791309260811103
single,26,4349.9232198088175,290.1678899979933,3.289961595076157
single,27,4340.834939323187,299.25617048364137,3.266684575214733
single,28,4328.9178068431165,311.17330296370045,3.2773081543124656
single,29,4320.734439513995,319.3566702928225,3.2468744604741286
single,30,4310.859330078803,329.23177972800653,3.2366205204422775
single,31,4302.513830673322,337.5772791334936,3.2116487793761554
single,32,4295.156291201627,344.93481860518665,3.178636988589395
single,33,4284.530983080649,355.5601267261601,3.1794372380524316
single,34,4276.2988821559975,363.7922276508167,3.1579664618450827
single,35,4269.034970961309,371.0561388455094,3.1290493259722245
single,36,4260.917695604861,379.1734142019468,3.1095185101779346
single,37,4255.04776301742,385.0433467893995,3.0716652836176914
single,38,4236.039071589167,404.05203821764576,3.147685145448886
single,39,4227.446525526973,412.64458427984766,3.133821537182695
single,40,4219.851528207673,420.23958159915156,3.112711592017616
single,41,4213.318871625512,426.7722381813141,3.084317861659357
single,42,4199.672931710576,440.4181780962372,3.1128377774374716
single,43,4188.9735222993,451.11758750751693,3.1179304854301444
single,44,4183.163874520168,456.9272352866603,3.0863842148719614
single,45,4175.908365881233,464.1827439255737,3.0669312559296436
single,46,4168.467607312554,471.6235024942525,3.0497714556994278
single,47,4163.317523661426,476.77358614539634,3.017292690077093
single,48,4161.101830757654,478.9892790491685,2.965949376733037
single,49,4154.133725953456,485.95738385336205,2.948912222405289
single,50,4148.299750077846,491.79135972897603,2.925101798443481
single,51,4140.227800528799,499.8633092780319,2.9169162021990167
single,52,4133.341108169304,506.7500016375273,2.9015469708959003
single,53,4121.3440713487935,518.7470384580382,2.919178967373822
single,54,4110.97975502025,529.1113547865699,2.9262600677787387
single,55,4104.2695806933525,535.8215291134612,2.9108311089619145
single,56,4089.406575881974,550.6845339248424,2.9454084352689325
single,57,4081.7265459746745,558.3645638321448,2.9362321056624845
single,58,4075.721883086869,564.3692267199481,2.9176079625256643
single,59,4065.401729679425,574.6893801273965,2.9247109871775585
single,60,4029.464164813372,610.6269449934426,3.079610828590147
single,61,4025.0687293553256,615.0223804514893,3.050866379859693
single,62,4006.6636071884323,633.4275026183782,3.1022611205512187
single,63,4002.044703399759,638.046406407056,3.075458150319439
single,64,3993.8384360493387,646.2526737574717,3.069299131594482
single,65,3983.5952936399317,656.4958161668757,3.0745467768569767
single,66,3961.145095651797,678.9460141550386,3.1458758489426546
single,67,3959.1765200646764,680.9145897421594,3.1061333345277164
single,68,3953.246987034368,686.8441227724545,3.088454421817168
single,69,3949.8723560665526,690.2187537402697,3.0580300074515114
single,70,3942.085719538536,698.0053902682901,3.0511634735203037
single,71,3935.8763195257216,704.2147902811001,3.036561629975054
single,72,3926.9372815312,713.153828275626,3.0361388083350147
single,73,3919.068210460287,721.0228993465466,3.0305288878736736
single,74,3912.9695070424523,727.1216027643648,3.016449607210489
single,75,3899.6763596491733,740.4147501576468,3.0378510701816572
single,76,3892.754525635513,747.3365841713072,3.0281871041956596
single,77,3889.061203263329,751.0299065434846,3.003421862181273
single,78,3884.6119188932726,755.4791909135344,2.982868038118812
single,79,3871.0716290040723,769.0194808027487,3.005339494625391
single,80,3867.5785109810354,772.5125988257863,2.9809393931381614
single,81,3861.550122779705,778.5409870271005,2.9687601272728728
single,82,3855.1477449477316,784.9433648590773,2.9586169434019483
single,83,3849.6686318238017,790.4224779830241,2.9446209879959464
single,84,3842.1236131486626,797.9674966581563,2.9401781284384345
single,85,3832.980243924259,807.1108658825526,2.9429672158781117
single,86,3828.8579146596226,811.2331951471981,2.9238531025580112
single,87,3822.0196253825998,818.0714844242214,2.916940042908413
single,88,3805.1825114699873,834.9085983368266,2.9532559257614492
single,89,3803.52144287459,836.569666932224,2.9242832327500476
single,90,3797.1364075622846,842.9547022445391,2.9158994448853424
single,91,3789.206631446895,850.884478359929,2.9142220915249877
single,92,3784.485043778666,855.6060660281468,2.899322496997048
single,93,3780.0689944437345,860.0221153630813,2.883504380899248
single,94,3773.1519994331,866.939110373717,2.878241771362015
single,95,3767.8978010300666,872.193308776751,2.8664129855978233
single,96,3757.4848437358437,882.6062660709778,2.875582807253835
