method,k,silhouette_avg
single,2,0.4279477721797118
single,3,0.4023364162910738
single,4,0.3133918842180344
single,5,0.2993495933093843
single,6,0.2761488406201306
single,7,0.271184592373677
single,8,0.2643121497045679
single,9,0.2622279394208334
single,10,0.24428584876199183
single,11,0.2336261975320033
single,12,0.22676661007694374
single,13,0.1925680070231447
single,14,0.1922936549600371
single,15,0.16080266814403443
single,16,0.15540350807080672
single,17,0.1524510239445655
single,18,0.15177649937189705
single,19,0.15042387517937633
single,20,0.132566757747297
single,21,0.1315379774611012
single,22,0.13065357421647242
single,23,0.12992154411128246
single,24,0.12973425859709287
single,25,0.12226681503415211
single,26,0.12036847640667686
single,27,0.11939672357532927
single,28,0.11928010390975455
single,29,0.11738266782588389
single,30,0.11493457097759333
single,31,0.10690837861331354
single,32,0.09454302741421053
single,33,0.09473882160433586
single,34,0.09415258179048044
single,35,0.08770942634798161
single,36,0.08768043390775668
single,37,0.07026018885181923
single,38,0.06178981313832074
single,39,0.06155264083105892
single,40,0.05252641278701327
single,41,0.04938454309353925
single,42,0.04863429741442987
single,43,0.04922796969739754
single,44,0.038612126069522384
single,45,0.03409001054212628
single,46,0.03403240722881019
single,47,0.03210029897498966
single,48,0.030477356434380595
single,49,0.026985192180488275
single,50,0.02130776655795764
single,51,0.021206888614662113
single,52,0.020945007332571115
single,53,0.021216525458253116
single,54,0.021479658442990483
single,55,0.02155476308463172
single,56,0.022499223097290185
single,57,0.022036594962008764
single,58,0.005377564460356345
single,59,0.0059950696730455815
single,60,0.008908640817108576
single,61,0.008558039771676367
single,62,0.009753071607067046
single,63,0.004263101868996242
single,64,0.0013736686741206514
single,65,0.0011458953810203956
single,66,0.0028449051540483856
single,67,-0.0011787798533511244
single,68,-0.003780298975351312
single,69,-0.004433935833343553
single,70,-0.010982758056834662
single,71,-0.012068964792618583
single,72,-0.01227783226227071
single,73,-0.011970207153027167
single,74,-0.022639145724162302
single,75,-0.021518381759605198
single,76,-0.021656493004705842
single,77,-0.032185802448515675
single,78,-0.04502895723037288
single,79,-0.04485435175931266
single,80,-0.04817303617534115
single,81,-0.048231799116371106
single,82,-0.048544536582164614
single,83,-0.04857180667934553
single,84,-0.048545327321306855
single,85,-0.04805217974465595
single,86,-0.048438899222697486
single,87,-0.04859616557551137
single,88,-0.04700096709949078
single,89,-0.04743395602068383
single,90,-0.047365528079764574
single,91,-0.0470439402995528
single,92,-0.051096433824072335
single,93,-0.053827102606172426
single,94,-0.05367132394332049
single,95,-0.05679087771081287
single,96,-0.05642773662003415
single,97,-0.05928405647926659
single,98,-0.07072562933008399
single,99,-0.07078142012486618
complete,2,0.15401020595399273
complete,3,0.13602684222902817
complete,4,0.1274049730819636
complete,5,0.1254697845071362
complete,6,0.08087566037881827
complete,7,0.08165910953769055
